n_snvs,err,instance
4,0.0055686566031382554,0
4,2.1545988790770718e-13,1
4,0.01848827570587897,2
4,2.8918349890939527e-13,3
4,2.6858273491540065e-11,4
4,0.0007826954772149427,5
4,0.00020426577010901567,6
4,0.004805924630344767,7
4,2.113467795616558e-11,8
4,0.0007138573413483347,9
10,0.0039790639612108875,0
10,0.013264211264277626,1
10,0.006129425586337935,2
10,0.0012206471138457191,3
10,0.009818394965663156,4
10,0.003215853842237609,5
10,0.019190481604577533,6
10,0.001582993063557049,7
10,0.005971323150986026,8
10,0.01281210638565324,9
100,0.21631281118289106,0
100,0.2933935600833859,1
100,0.24291347299128296,2
100,0.31897948566740864,3
100,0.2135519788796383,4
100,0.21075129589988068,5
100,0.20364309529127717,6
100,0.21924686356473605,7
100,0.2176649041675839,8
100,0.1983912956126581,9
